Series,ImageID,Filename,Repeat,HashMs,SignMs,EmbedMs,ExtractRecoverMs,VerifyMs,TotalMs,EmbeddingSuccess
CT-01,CT-01_image-00000,image-00000.tiff,1,1.42466666666667,5.27408333333333,13.246625,3.69125,2.40445833333333,26.0593333333333,1
CT-01,CT-01_image-00000,image-00000.tiff,2,1.70966666666667,5.25495833333333,13.392,3.54175,3.61066666666667,27.5344583333333,1
CT-01,CT-01_image-00000,image-00000.tiff,3,1.392375,5.305625,13.208375,3.41620833333333,2.80295833333333,26.1455833333333,1
CT-01,CT-01_image-00000,image-00000.tiff,4,1.436125,5.58708333333333,13.042125,3.39175,2.569875,26.0494166666667,1
CT-01,CT-01_image-00000,image-00000.tiff,5,1.37958333333333,5.35179166666667,12.9640416666667,3.37625,3.02483333333333,26.1171666666667,1
CT-01,CT-01_image-00000,image-00000.tiff,6,1.49579166666667,5.2665,13.1061666666667,3.32091666666667,3.27820833333333,26.4859166666667,1
CT-01,CT-01_image-00000,image-00000.tiff,7,1.435,5.30529166666667,13.081,3.91979166666667,3.14925,26.9145416666667,1
CT-01,CT-01_image-00000,image-00000.tiff,8,1.48129166666667,5.48020833333333,13.6140833333333,3.45166666666667,2.604375,26.655625,1
CT-01,CT-01_image-00000,image-00000.tiff,9,1.38883333333333,5.29820833333333,13.3919166666667,3.378375,2.26408333333333,25.7406666666667,1
CT-01,CT-01_image-00000,image-00000.tiff,10,1.35804166666667,5.240875,13.170375,3.420625,2.189625,25.3984166666667,1
CT-01,CT-01_image-00006,image-00006.tiff,1,1.373,5.34441666666667,13.0602083333333,3.44983333333333,1.66816666666667,24.9112083333333,1
CT-01,CT-01_image-00006,image-00006.tiff,2,1.324125,5.15358333333333,12.5790833333333,3.55220833333333,2.235625,24.8653333333333,1
CT-01,CT-01_image-00006,image-00006.tiff,3,2.07791666666667,5.30829166666667,12.867625,3.518,2.10145833333333,25.8960833333333,1
CT-01,CT-01_image-00006,image-00006.tiff,4,1.553125,5.07866666666667,12.5944583333333,3.31483333333333,1.911875,24.4742916666667,1
CT-01,CT-01_image-00006,image-00006.tiff,5,1.4485,5.09108333333333,12.6526666666667,3.30908333333333,1.81341666666667,24.3317083333333,1
CT-01,CT-01_image-00006,image-00006.tiff,6,1.34704166666667,5.08658333333333,12.5329583333333,3.30954166666667,1.68708333333333,23.979375,1
CT-01,CT-01_image-00006,image-00006.tiff,7,1.34583333333333,5.0805,12.5630416666667,3.264125,1.74829166666667,24.0185,1
CT-01,CT-01_image-00006,image-00006.tiff,8,1.30754166666667,5.06291666666667,12.683625,3.2725,1.74079166666667,24.0821666666667,1
CT-01,CT-01_image-00006,image-00006.tiff,9,1.2695,5.03325,12.5636666666667,3.25970833333333,1.626125,23.7669583333333,1
CT-01,CT-01_image-00006,image-00006.tiff,10,1.268,5.06229166666667,12.4052083333333,3.26783333333333,1.62154166666667,23.6394583333333,1
CT-01,CT-01_image-00018,image-00018.tiff,1,1.31741666666667,5.15529166666667,13.0625416666667,3.41345833333333,1.8085,24.7765416666667,1
