Series,ImageID,Filename,InputPath,ImageHeight,ImageWidth,SourceClass,ConversionNote,TotalBlocks,ExpandableBlocks,NonExpandableBlocks,ExpandableBlocksPercent,EmbeddingCapacityBits,MaximumCapacityBpp,PayloadBits,PaddedPayloadBits,EmbeddedBits,EmbeddingRateBpp,EmbeddingSuccess,PSNRdB,SSIM,BitErrors,WatermarkBER,RecoveryExact,ParseSuccess,VerificationStatus,ChangedPixels,ChangedPixelsPercent,MaxPixelDifference,HashMedianMs,HashQ1Ms,HashQ3Ms,SignMedianMs,SignQ1Ms,SignQ3Ms,EmbedMedianMs,EmbedQ1Ms,EmbedQ3Ms,ExtractRecoverMedianMs,ExtractRecoverQ1Ms,ExtractRecoverQ3Ms,VerifyMedianMs,VerifyQ1Ms,VerifyQ3Ms,TotalMedianMs,TotalQ1Ms,TotalQ3Ms
CT-01,CT-01_image-00091,image-00091.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00091.tiff,512,512,uint8,none,16384,9091,7293,55.487060546875,145456,0.55487060546875,5792,5792,5792,0.0220947265625,1,68.2798509302902,0.999303655163033,0,0,1,1,AUTHENTIC_ORIGINAL,2533,0.966262817382812,1,1.22047916666667,1.21523958333333,1.23497916666667,4.97683333333333,4.96938541666667,5.00141666666667,12.4316666666667,12.3595520833333,12.5006041666667,3.2218125,3.17835416666667,3.29923958333333,1.450625,1.43408333333333,1.46458333333333,23.3164583333333,23.1949791666667,23.5107708333333
CT-01,CT-01_image-00097,image-00097.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00097.tiff,512,512,uint8,none,16384,8937,7447,54.547119140625,142992,0.54547119140625,5792,5792,5792,0.0220947265625,1,68.3333297746217,0.999315627704606,0,0,1,1,AUTHENTIC_ORIGINAL,2502,0.954437255859375,1,1.22385416666667,1.21148958333333,1.2313125,4.981125,4.96040625,5.018875,12.6865625,12.63515625,12.7576458333333,3.30629166666667,3.29910416666667,3.31858333333333,1.43195833333333,1.41710416666667,1.55728125,23.6955208333333,23.5319375,23.82028125
CT-01,CT-01_image-00109,image-00109.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00109.tiff,512,512,uint8,none,16384,9036,7348,55.1513671875,144576,0.551513671875,5792,5792,5792,0.0220947265625,1,68.2953093224748,0.999306486911855,0,0,1,1,AUTHENTIC_ORIGINAL,2524,0.96282958984375,1,1.212375,1.20703125,1.22453125,4.948625,4.94257291666667,4.98025,12.9871875,12.85865625,13.0436354166667,3.463625,3.29490625,3.48173958333333,1.42054166666667,1.41277083333333,1.4455,24.0670416666667,23.9693645833333,24.1855208333333
CT-01,CT-01_image-00115,image-00115.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00115.tiff,512,512,uint8,none,16384,9069,7315,55.352783203125,145104,0.55352783203125,5792,5792,5792,0.0220947265625,1,68.2559133785596,0.999296363841333,0,0,1,1,AUTHENTIC_ORIGINAL,2547,0.971603393554688,1,1.21672916666667,1.21328125,1.224625,4.969625,4.94634375,5.00571875,12.8523125,12.6777916666667,12.9831770833333,3.36079166666667,3.23280208333333,3.40157291666667,1.42510416666667,1.41832291666667,1.45273958333333,23.8081875,23.6973333333333,23.9777916666667
CT-01,CT-01_image-00127,image-00127.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00127.tiff,512,512,uint8,none,16384,9125,7259,55.694580078125,146000,0.55694580078125,5792,5792,5792,0.0220947265625,1,68.3263921616144,0.99931653177109,0,0,1,1,AUTHENTIC_ORIGINAL,2506,0.955963134765625,1,1.216,1.21161458333333,1.23515625,4.97825,4.96376041666667,4.98777083333333,12.750875,12.58109375,12.82703125,3.32845833333333,3.29247916666667,3.39272916666667,1.42608333333333,1.41994791666667,1.45201041666667,23.6594791666667,23.5597083333333,23.96621875
CT-01,CT-01_image-00133,image-00133.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00133.tiff,512,512,uint8,none,16384,9249,7135,56.451416015625,147984,0.56451416015625,5792,5792,5792,0.0220947265625,1,68.3160064775441,0.999311744072437,0,0,1,1,AUTHENTIC_ORIGINAL,2512,0.958251953125,1,1.21820833333333,1.2105,1.22089583333333,4.9568125,4.94920833333333,4.96315625,12.867375,12.6736145833333,12.9597916666667,3.41341666666667,3.3089375,3.45064583333333,1.42070833333333,1.41728125,1.4384375,23.92,23.6182708333333,24.0081979166667
CT-01,CT-01_image-00145,image-00145.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00145.tiff,512,512,uint8,none,16384,9293,7091,56.719970703125,148688,0.56719970703125,5792,5792,5792,0.0220947265625,1,68.2849976164375,0.999303222918466,0,0,1,1,AUTHENTIC_ORIGINAL,2530,0.965118408203125,1,1.21654166666667,1.21409375,1.22733333333333,4.96029166666667,4.92746875,4.99484375,12.39175,12.3088541666667,12.6098125,3.14345833333333,3.13844791666667,3.17464583333333,1.4388125,1.4116875,1.47813541666667,23.1112083333333,23.0302395833333,23.4624791666667
CT-01,CT-01_image-00151,image-00151.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00151.tiff,512,512,uint8,none,16384,9312,7072,56.8359375,148992,0.568359375,5792,5792,5792,0.0220947265625,1,68.2815658147425,0.99930477660627,0,0,1,1,AUTHENTIC_ORIGINAL,2532,0.96588134765625,1,1.22591666666667,1.21788541666667,1.23726041666667,4.95277083333333,4.92913541666667,4.98683333333333,12.5900625,12.3964270833333,12.69496875,3.27229166666667,3.19985416666667,3.35622916666667,1.44539583333333,1.41796875,1.50821875,23.4180833333333,23.2780833333333,23.86540625
CT-01,CT-01_image-00163,image-00163.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00163.tiff,512,512,uint8,none,16384,9346,7038,57.04345703125,149536,0.5704345703125,5792,5792,5792,0.0220947265625,1,68.3420174046822,0.999318414861157,0,0,1,1,AUTHENTIC_ORIGINAL,2497,0.952529907226562,1,1.21764583333333,1.2135,1.22394791666667,4.95425,4.94526041666667,4.97446875,12.5221041666667,12.4765833333333,12.626875,3.23672916666667,3.21970833333333,3.28604166666667,1.41741666666667,1.40930208333333,1.43158333333333,23.3752708333333,23.34915625,23.4601979166667
CT-01,CT-01_image-00169,image-00169.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00169.tiff,512,512,uint8,none,16384,9368,7016,57.177734375,149888,0.57177734375,5792,5792,5792,0.0220947265625,1,68.3368027414753,0.999316716937079,0,0,1,1,AUTHENTIC_ORIGINAL,2500,0.95367431640625,1,1.2253125,1.21839583333333,1.26530208333333,4.9869375,4.95455208333333,5.093875,12.572125,12.5584375,12.7833645833333,3.28866666666667,3.23513541666667,3.34551041666667,1.45358333333333,1.42320833333333,1.52411458333333,23.6772291666667,23.4173541666667,23.96540625
CT-01,CT-01_image-00181,image-00181.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00181.tiff,512,512,uint8,none,16384,9578,6806,58.45947265625,153248,0.5845947265625,5792,5792,5792,0.0220947265625,1,68.3039211532146,0.999309646679933,0,0,1,1,AUTHENTIC_ORIGINAL,2519,0.960922241210938,1,1.21135416666667,1.2068125,1.21541666666667,4.94277083333333,4.9303125,4.948875,12.5121458333333,12.4287708333333,12.5289479166667,3.2063125,3.2011875,3.20842708333333,1.41027083333333,1.4024375,1.41215625,23.2738333333333,23.1943541666667,23.3340625
CT-01,CT-01_image-00187,image-00187.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00187.tiff,512,512,uint8,none,16384,9746,6638,59.48486328125,155936,0.5948486328125,5792,5792,5792,0.0220947265625,1,68.2678656619963,0.999300592808857,0,0,1,1,AUTHENTIC_ORIGINAL,2540,0.96893310546875,1,1.22508333333333,1.2158125,1.24198958333333,4.96179166666667,4.953375,5.00265625,12.8677916666667,12.7068125,13.0198645833333,3.3109375,3.2634375,3.38444791666667,1.42491666666667,1.41496875,1.49265625,23.9604791666667,23.8576666666667,24.045375
CT-01,CT-01_image-00200,image-00200.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00200.tiff,512,512,uint8,none,16384,9848,6536,60.107421875,157568,0.60107421875,5792,5792,5792,0.0220947265625,1,68.3211962150496,0.999313339234411,0,0,1,1,AUTHENTIC_ORIGINAL,2509,0.957107543945312,1,1.21604166666667,1.21483333333333,1.21980208333333,4.92483333333333,4.92258333333333,4.95217708333333,13.1228958333333,12.9944375,13.2364791666667,3.408,3.40379166666667,3.43604166666667,1.42589583333333,1.40721875,1.44601041666667,24.12825,24.0415729166667,24.2503854166667
CT-01,CT-01_image-00206,image-00206.tiff,/Users/wijaya/Library/Mobile Documents/com~apple~CloudDocs/Data Study/Data S3/Publikasi/Jurnal/New Idea/Detection AIGC/DataSet/Image/Computed Tomography/series-00001/image-00206.tiff,512,512,uint8,none,16384,10039,6345,61.273193359375,160624,0.61273193359375,5792,5792,5792,0.0220947265625,1,68.2473961277045,0.999295684528606,0,0,1,1,AUTHENTIC_ORIGINAL,2552,0.9735107421875,1,1.21285416666667,1.20794791666667,1.22365625,4.96533333333333,4.94032291666667,4.9876875,12.73975,12.6643958333333,12.8576458333333,3.28454166666667,3.2593125,3.3404375,1.4285625,1.40604166666667,1.44009375,23.6956041666667,23.5334479166667,23.9429479166667
