Series,ImageID,Filename,HashMedianMs,HashQ1Ms,HashQ3Ms,SignMedianMs,SignQ1Ms,SignQ3Ms,EmbedMedianMs,EmbedQ1Ms,EmbedQ3Ms,ExtractRecoverMedianMs,ExtractRecoverQ1Ms,ExtractRecoverQ3Ms,VerifyMedianMs,VerifyQ1Ms,VerifyQ3Ms,TotalMedianMs,TotalQ1Ms,TotalQ3Ms
CT-01,CT-01_image-00000,image-00000.tiff,1.42983333333333,1.38971875,1.47,5.30175,5.26839583333333,5.34025,13.189375,13.0872916666667,13.35559375,3.41841666666667,3.38171875,3.51922916666667,2.70366666666667,2.4458125,3.11814583333333,26.131375,26.0518958333333,26.6131979166667
CT-01,CT-01_image-00006,image-00006.tiff,1.3464375,1.3116875,1.429625,5.08354166666667,5.06685416666667,5.13795833333333,12.5867708333333,12.5631979166667,12.6758854166667,3.3093125,3.269,3.41608333333333,1.74454166666667,1.67289583333333,1.88726041666667,24.2069375,23.98915625,24.7675729166667
CT-01,CT-01_image-00018,image-00018.tiff,1.25358333333333,1.24533333333333,1.25946875,5.0691875,5.03138541666667,5.09555208333333,12.7159791666667,12.609125,12.81275,3.3366875,3.29319791666667,3.37277083333333,1.59577083333333,1.57366666666667,1.65425,24.0064375,23.8310729166667,24.0821666666667
CT-01,CT-01_image-00024,image-00024.tiff,1.24972916666667,1.24629166666667,1.25513541666667,5.05766666666667,5.03119791666667,5.11458333333333,12.8657916666667,12.7573125,12.99228125,3.4001875,3.36248958333333,3.43826041666667,1.60716666666667,1.57809375,1.66225,24.2894375,24.1291145833333,24.3473854166667
CT-01,CT-01_image-00036,image-00036.tiff,1.25425,1.24536458333333,1.27826041666667,5.12335416666667,5.05375,5.15558333333333,12.6686041666667,12.5553333333333,13.20109375,3.32627083333333,3.25571875,3.55277083333333,1.63670833333333,1.52834375,1.81626041666667,24.0704166666667,23.6704166666667,25.0247708333333
CT-01,CT-01_image-00042,image-00042.tiff,1.23416666666667,1.21253125,1.24589583333333,4.98379166666667,4.97279166666667,5.00894791666667,12.6395416666667,12.5628229166667,12.8731041666667,3.31247916666667,3.29128125,3.32516666666667,1.47883333333333,1.44277083333333,1.51317708333333,23.6044166666667,23.5358645833333,24.0306041666667
CT-01,CT-01_image-00054,image-00054.tiff,1.23572916666667,1.22609375,1.246375,4.99083333333333,4.97216666666667,5.01338541666667,12.6353333333333,12.4545208333333,12.8424583333333,3.26697916666667,3.2445625,3.33977083333333,1.45983333333333,1.43734375,1.48396875,23.6084791666667,23.4124583333333,24.1358854166667
CT-01,CT-01_image-00060,image-00060.tiff,1.23166666666667,1.22288541666667,1.23751041666667,4.97170833333333,4.96107291666667,4.9808125,12.6699375,12.6229895833333,12.81671875,3.324375,3.2984375,3.34180208333333,1.44745833333333,1.43405208333333,1.46944791666667,23.694125,23.56359375,23.8830729166667
CT-01,CT-01_image-00073,image-00073.tiff,1.22752083333333,1.220625,1.2386875,4.94445833333333,4.939,4.978125,12.5704166666667,12.4306145833333,12.7378958333333,3.22360416666667,3.17940625,3.29720833333333,1.43260416666667,1.42420833333333,1.46347916666667,23.5193958333333,23.2181666666667,23.6694895833333
CT-01,CT-01_image-00079,image-00079.tiff,1.21689583333333,1.215,1.22008333333333,4.95039583333333,4.94441666666667,4.98859375,12.703625,12.5503333333333,12.74596875,3.29141666666667,3.286,3.35191666666667,1.426625,1.417125,1.44183333333333,23.565875,23.498125,23.64696875
CT-01,CT-01_image-00091,image-00091.tiff,1.22047916666667,1.21523958333333,1.23497916666667,4.97683333333333,4.96938541666667,5.00141666666667,12.4316666666667,12.3595520833333,12.5006041666667,3.2218125,3.17835416666667,3.29923958333333,1.450625,1.43408333333333,1.46458333333333,23.3164583333333,23.1949791666667,23.5107708333333
CT-01,CT-01_image-00097,image-00097.tiff,1.22385416666667,1.21148958333333,1.2313125,4.981125,4.96040625,5.018875,12.6865625,12.63515625,12.7576458333333,3.30629166666667,3.29910416666667,3.31858333333333,1.43195833333333,1.41710416666667,1.55728125,23.6955208333333,23.5319375,23.82028125
CT-01,CT-01_image-00109,image-00109.tiff,1.212375,1.20703125,1.22453125,4.948625,4.94257291666667,4.98025,12.9871875,12.85865625,13.0436354166667,3.463625,3.29490625,3.48173958333333,1.42054166666667,1.41277083333333,1.4455,24.0670416666667,23.9693645833333,24.1855208333333
CT-01,CT-01_image-00115,image-00115.tiff,1.21672916666667,1.21328125,1.224625,4.969625,4.94634375,5.00571875,12.8523125,12.6777916666667,12.9831770833333,3.36079166666667,3.23280208333333,3.40157291666667,1.42510416666667,1.41832291666667,1.45273958333333,23.8081875,23.6973333333333,23.9777916666667
CT-01,CT-01_image-00127,image-00127.tiff,1.216,1.21161458333333,1.23515625,4.97825,4.96376041666667,4.98777083333333,12.750875,12.58109375,12.82703125,3.32845833333333,3.29247916666667,3.39272916666667,1.42608333333333,1.41994791666667,1.45201041666667,23.6594791666667,23.5597083333333,23.96621875
CT-01,CT-01_image-00133,image-00133.tiff,1.21820833333333,1.2105,1.22089583333333,4.9568125,4.94920833333333,4.96315625,12.867375,12.6736145833333,12.9597916666667,3.41341666666667,3.3089375,3.45064583333333,1.42070833333333,1.41728125,1.4384375,23.92,23.6182708333333,24.0081979166667
CT-01,CT-01_image-00145,image-00145.tiff,1.21654166666667,1.21409375,1.22733333333333,4.96029166666667,4.92746875,4.99484375,12.39175,12.3088541666667,12.6098125,3.14345833333333,3.13844791666667,3.17464583333333,1.4388125,1.4116875,1.47813541666667,23.1112083333333,23.0302395833333,23.4624791666667
CT-01,CT-01_image-00151,image-00151.tiff,1.22591666666667,1.21788541666667,1.23726041666667,4.95277083333333,4.92913541666667,4.98683333333333,12.5900625,12.3964270833333,12.69496875,3.27229166666667,3.19985416666667,3.35622916666667,1.44539583333333,1.41796875,1.50821875,23.4180833333333,23.2780833333333,23.86540625
CT-01,CT-01_image-00163,image-00163.tiff,1.21764583333333,1.2135,1.22394791666667,4.95425,4.94526041666667,4.97446875,12.5221041666667,12.4765833333333,12.626875,3.23672916666667,3.21970833333333,3.28604166666667,1.41741666666667,1.40930208333333,1.43158333333333,23.3752708333333,23.34915625,23.4601979166667
CT-01,CT-01_image-00169,image-00169.tiff,1.2253125,1.21839583333333,1.26530208333333,4.9869375,4.95455208333333,5.093875,12.572125,12.5584375,12.7833645833333,3.28866666666667,3.23513541666667,3.34551041666667,1.45358333333333,1.42320833333333,1.52411458333333,23.6772291666667,23.4173541666667,23.96540625
CT-01,CT-01_image-00181,image-00181.tiff,1.21135416666667,1.2068125,1.21541666666667,4.94277083333333,4.9303125,4.948875,12.5121458333333,12.4287708333333,12.5289479166667,3.2063125,3.2011875,3.20842708333333,1.41027083333333,1.4024375,1.41215625,23.2738333333333,23.1943541666667,23.3340625
CT-01,CT-01_image-00187,image-00187.tiff,1.22508333333333,1.2158125,1.24198958333333,4.96179166666667,4.953375,5.00265625,12.8677916666667,12.7068125,13.0198645833333,3.3109375,3.2634375,3.38444791666667,1.42491666666667,1.41496875,1.49265625,23.9604791666667,23.8576666666667,24.045375
CT-01,CT-01_image-00200,image-00200.tiff,1.21604166666667,1.21483333333333,1.21980208333333,4.92483333333333,4.92258333333333,4.95217708333333,13.1228958333333,12.9944375,13.2364791666667,3.408,3.40379166666667,3.43604166666667,1.42589583333333,1.40721875,1.44601041666667,24.12825,24.0415729166667,24.2503854166667
CT-01,CT-01_image-00206,image-00206.tiff,1.21285416666667,1.20794791666667,1.22365625,4.96533333333333,4.94032291666667,4.9876875,12.73975,12.6643958333333,12.8576458333333,3.28454166666667,3.2593125,3.3404375,1.4285625,1.40604166666667,1.44009375,23.6956041666667,23.5334479166667,23.9429479166667
CT-01,CT-01_image-00218,image-00218.tiff,1.21429166666667,1.2098125,1.2256875,4.92233333333333,4.912625,4.97822916666667,12.6976041666667,12.6071666666667,12.7228020833333,3.28704166666667,3.25728125,3.36208333333333,1.41460416666667,1.40379166666667,1.43919791666667,23.526875,23.4332395833333,23.7232291666667
CT-01,CT-01_image-00224,image-00224.tiff,1.215875,1.21117708333333,1.22891666666667,4.94689583333333,4.93896875,4.98052083333333,12.4696041666667,12.4000729166667,12.6011354166667,3.221375,3.21652083333333,3.22396875,1.42958333333333,1.4148125,1.46995833333333,23.3578333333333,23.1981875,23.5404166666667
CT-01,CT-01_image-00230,image-00230.tiff,1.22333333333333,1.2143125,1.22776041666667,4.95179166666667,4.93523958333333,4.96451041666667,12.8029791666667,12.6539791666667,12.9069479166667,3.26660416666667,3.23542708333333,3.32239583333333,1.46202083333333,1.41477083333333,1.49723958333333,23.7974791666667,23.4912395833333,23.8775208333333
CT-01,CT-01_image-00236,image-00236.tiff,1.2205625,1.21055208333333,1.22592708333333,4.95220833333333,4.93596875,4.99190625,12.7583541666667,12.54740625,12.8366979166667,3.28722916666667,3.27486458333333,3.2998125,1.42625,1.41123958333333,1.44945833333333,23.644125,23.46146875,23.75840625
CT-01,CT-01_image-00242,image-00242.tiff,1.227625,1.21507291666667,1.24872916666667,4.94122916666667,4.92232291666667,4.96247916666667,12.3598541666667,12.2169375,12.38853125,3.22429166666667,3.168375,3.2380625,1.42520833333333,1.40911458333333,1.53598958333333,23.1809166666667,22.9992916666667,23.4287916666667
CT-01,CT-01_image-00248,image-00248.tiff,1.21147916666667,1.20659375,1.21746875,4.95252083333333,4.93509375,4.98663541666667,12.8534583333333,12.5841666666667,12.9019270833333,3.3393125,3.26064583333333,3.35152083333333,1.42233333333333,1.41477083333333,1.45357291666667,23.7958541666667,23.50709375,23.8750833333333
CT-01,CT-01_image-00254,image-00254.tiff,1.22229166666667,1.21796875,1.22732291666667,4.93791666666667,4.92533333333333,4.95085416666667,12.9590416666667,12.7060833333333,13.1733958333333,3.32804166666667,3.31541666666667,3.37888541666667,1.4154375,1.41032291666667,1.45334375,24.0100208333333,23.654375,24.1157916666667
CT-01,CT-01_image-00260,image-00260.tiff,1.22089583333333,1.21383333333333,1.25992708333333,4.95347916666667,4.92469791666667,4.99280208333333,12.6730625,12.54871875,12.7188125,3.29152083333333,3.26447916666667,3.35966666666667,1.42508333333333,1.41469791666667,1.44811458333333,23.5456875,23.4639791666667,23.6541145833333
CT-01,CT-01_image-00266,image-00266.tiff,1.2210625,1.21375,1.22802083333333,4.935625,4.92775,4.96728125,12.9135833333333,12.7924791666667,13.1551458333333,3.40079166666667,3.31304166666667,3.46761458333333,1.41320833333333,1.4058125,1.41944791666667,24.02625,23.6717604166667,24.2661041666667
CT-02,CT-02_image-00000,image-00000.tiff,1.22210416666667,1.21871875,1.23370833333333,4.95329166666667,4.93038541666667,4.98760416666667,12.9083333333333,12.8292708333333,13.0631666666667,3.24460416666667,3.227125,3.26661458333333,1.4541875,1.42813541666667,1.46001041666667,23.8164375,23.6833229166667,24.0156979166667
CT-02,CT-02_image-00004,image-00004.tiff,1.22008333333333,1.21601041666667,1.25494791666667,4.93647916666667,4.92520833333333,4.95701041666667,12.429375,12.2571458333333,12.821375,3.24102083333333,3.21425,3.29175,1.42889583333333,1.41339583333333,1.46451041666667,23.2621666666667,23.1480520833333,23.9931041666667
